step,r,phi,dphi,dV,dr,truncation_error,friction
219,0.0173777,1113.59,-102866,-2.18646e+006,0.000108256,1.05998e-006,-1.77583e+007
220,0.017486,1102.54,-101198,-2.11913e+006,0.000108949,0.355981,-1.73622e+007
221,0.0175949,1091.61,-99551.4,-2.01485e+006,0.000109653,1.05115e-006,-1.69739e+007
222,0.0177046,1080.78,-97928.6,-1.95249e+006,0.000110364,1.0404e-006,-1.65938e+007
223,0.017815,1070.06,-96330,-1.89206e+006,0.000111083,1.02978e-006,-1.62218e+007
224,0.017926,1059.45,-94755.3,-1.8335e+006,0.000111809,1.01932e-006,-1.58577e+007
225,0.0180378,1048.94,-93204.1,-1.77675e+006,0.000112542,0.321703,-1.55014e+007
226,0.0181504,1038.54,-91672.5,-1.6876e+006,0.000113288,1.01079e-006,-1.51522e+007
227,0.0182637,1028.24,-90163.6,-1.63508e+006,0.000114041,1.00068e-006,-1.48103e+007
228,0.0183777,1018.04,-88677.3,-1.58419e+006,0.000114803,9.90715e-007,-1.44758e+007
229,0.0184925,1007.94,-87213.4,-1.53488e+006,0.000115572,9.8085e-007,-1.41484e+007
230,0.0186081,997.949,-85771.4,-1.48711e+006,0.00011635,0.290981,-1.38281e+007
231,0.0187244,988.052,-84348,-1.41094e+006,0.00011714,9.72737e-007,-1.35141e+007
232,0.0188416,978.254,-82945.7,-1.36676e+006,0.000117939,9.63236e-007,-1.32068e+007
233,0.0189595,968.554,-81564.6,-1.32397e+006,0.000118747,9.53881e-007,-1.29061e+007
234,0.0190783,958.949,-80204.3,-1.28251e+006,0.000119563,9.44641e-007,-1.26119e+007
235,0.0191978,949.44,-78864.6,-1.24235e+006,0.000120389,0.263435,-1.2324e+007
236,0.0193182,940.025,-77542.3,-1.17729e+006,0.000121227,9.3699e-007,-1.20418e+007
237,0.0194395,930.704,-76239.7,-1.1402e+006,0.000122076,9.2813e-007,-1.17657e+007
238,0.0195615,921.476,-74957,-1.10426e+006,0.000122934,9.19371e-007,-1.14956e+007
239,0.0196845,912.339,-73693.7,-1.06946e+006,0.000123801,9.10729e-007,-1.12313e+007
240,0.0198083,903.293,-72449.7,-1.03574e+006,0.000124679,0.238724,-1.09726e+007
241,0.0199329,894.337,-71221.9,-980214,0.00012557,9.03599e-007,-1.07192e+007
242,0.0200585,885.47,-70012.7,-949108,0.000126473,8.9535e-007,-1.04713e+007
243,0.020185,876.691,-68821.9,-918984,0.000127385,8.87189e-007,-1.02287e+007
244,0.0203124,867.999,-67649.3,-889812,0.000128309,8.79158e-007,-9.99134e+006
245,0.0204407,859.393,-66494.6,-861562,0.000129243,0.216548,-9.75916e+006
246,0.0205699,850.873,-65355.2,-814183,0.000130192,8.72602e-007,-9.53167e+006
247,0.0207001,842.438,-64233.2,-788146,0.000131153,8.64929e-007,-9.3091e+006
248,0.0208313,834.086,-63128.3,-762938,0.000132126,8.57372e-007,-9.09138e+006
249,0.0209634,825.817,-62040.4,-738531,0.00013311,8.49918e-007,-8.87839e+006
250,0.0210965,817.631,-60969.3,-714900,0.000134105,0.196638,-8.67005e+006
251,0.0212306,809.526,-59912.5,-674498,0.000135118,8.43988e-007,-8.46596e+006
252,0.0213657,801.501,-58871.8,-652746,0.000136143,8.36891e-007,-8.26629e+006
253,0.0215019,793.556,-57847.2,-631690,0.000137181,8.29911e-007,-8.07099e+006
254,0.0216391,785.69,-56838.4,-611309,0.000138232,8.23034e-007,-7.87997e+006
255,0.0217773,777.902,-55845.2,-591581,0.000139296,0.535565,-7.69314e+006
256,0.0219166,770.191,-54866.2,-557147,0.000140376,8.17723e-007,-7.51023e+006
257,0.022057,762.557,-53901.5,-539012,0.000141472,8.11204e-007,-7.33123e+006
258,0.0221984,754.999,-52951.8,-521462,0.000142582,8.04794e-007,-7.15615e+006
259,0.022341,747.516,-52016.8,-504479,0.000143707,7.98486e-007,-6.98494e+006
260,0.0224847,740.107,-51096.5,-488044,0.000144845,0.48745,-6.81749e+006
261,0.0226296,732.772,-50189.3,-458713,0.000146002,7.93877e-007,-6.65359e+006
262,0.0227756,725.51,-49295.5,-443628,0.000147176,7.87928e-007,-6.49321e+006
263,0.0229227,718.32,-48415.7,-429034,0.000148365,7.82081e-007,-6.33637e+006
264,0.0230711,711.201,-47549.6,-414915,0.00014957,7.76336e-007,-6.18301e+006
265,0.0232207,704.153,-46697.1,-401256,0.000150792,0.44421,-6.03304e+006
266,0.0233715,697.175,-45857,-376286,0.000152033,7.72459e-007,-5.88627e+006
267,0.0235235,690.267,-45029.3,-363770,0.000153293,7.67081e-007,-5.74268e+006
268,0.0236768,683.427,-44214.6,-351664,0.00015457,7.61783e-007,-5.60227e+006
269,0.0238314,676.655,-43412.8,-339956,0.000155865,7.5661e-007,-5.465e+006
270,0.0239872,669.95,-42623.6,-328633,0.000157178,0.405341,-5.33078e+006
271,0.0241444,663.312,-41845.9,-307390,0.000158513,7.53503e-007,-5.19945e+006
272,0.0243029,656.739,-41079.9,-297033,0.000159869,7.4869e-007,-5.07098e+006
273,0.0244628,650.233,-40325.9,-287019,0.000161244,7.43964e-007,-4.94538e+006
274,0.024624,643.79,-39584,-277338,0.000162639,7.39333e-007,-4.8226e+006
275,0.0247867,637.412,-38853.8,-267978,0.000164054,0.370396,-4.70258e+006
276,0.0249507,631.097,-38134.3,-249917,0.000165493,7.37071e-007,-4.58516e+006
277,0.0251162,624.845,-37425.7,-241374,0.000166956,7.32808e-007,-4.4703e+006
278,0.0252832,618.655,-36728.4,-233116,0.000168441,7.28655e-007,-4.35804e+006
