phi,V_solver,dV_solver,d2V_solver,V_full,dV_full,d2V_full
1.709621614841e+002,3.120752097749e+005,4.068865667426e+003,4.173471820124e+000,1.293998306541e+005,1.931838648874e+003,-8.326528179876e+000
1.716326863491e+002,3.148047008552e+005,4.072412764577e+003,3.567999517017e+000,1.306935819590e+005,1.927004185214e+003,-8.932000482983e+000
1.723058410567e+002,3.175471520127e+005,4.075568981387e+003,2.954124806452e+000,1.319890091235e+005,1.921745968178e+003,-9.545875193548e+000
1.729816359215e+002,3.203023557668e+005,4.078325523780e+003,2.331761494844e+000,1.332858159788e+005,1.916055074761e+003,-1.016823850516e+001
1.736600812983e+002,3.230700957471e+005,4.080673453929e+003,1.700822617168e+000,1.345836967688e+005,1.909922437700e+003,-1.079917738283e+001
1.743411875826e+002,3.258501464763e+005,4.082603688189e+003,1.061220411887e+000,1.358823359282e+005,1.903338843407e+003,-1.143877958811e+001
1.750249652106e+002,3.286422772750e+005,4.084107083502e+003,4.139522036748e-001,1.371814119815e+005,1.896295018369e+003,-1.208604779633e+001
1.757114246595e+002,3.314462468781e+005,4.085174323314e+003,-2.432333081099e-001,1.384805921539e+005,1.888781515070e+003,-1.274323330811e+001
1.764005764476e+002,3.342617942427e+005,4.085795725057e+003,-9.093501465185e-001,1.397795231735e+005,1.880788519461e+003,-1.340935014652e+001
1.770924311345e+002,3.370886552171e+005,4.085961600579e+003,-1.584489294956e+000,1.410778479350e+005,1.872306211398e+003,-1.408448929496e+001
1.777869993211e+002,3.399265553926e+005,4.085662105123e+003,-2.268742561235e+000,1.423751983452e+005,1.863324613610e+003,-1.476874256124e+001
1.784842916498e+002,3.427752098590e+005,4.084887235075e+003,-2.962202572733e+000,1.436711950732e+005,1.853833589453e+003,-1.546220257273e+001
1.791843188050e+002,3.456343293650e+005,4.083626960053e+003,-3.663839306987e+000,1.449654537048e+005,1.843822974991e+003,-1.616383930699e+001
1.798870915129e+002,3.485036067794e+005,4.081870940609e+003,-4.375983911027e+000,1.462575711984e+005,1.833282296698e+003,-1.687598391103e+001
1.805926205416e+002,3.513827185694e+005,4.079608564833e+003,-5.097618138100e+000,1.475471273563e+005,1.822200808063e+003,-1.759761813810e+001
1.813009167017e+002,3.542713352811e+005,4.076829170708e+003,-5.828838015037e+000,1.488336953006e+005,1.810567711937e+003,-1.832883801504e+001
1.820119908460e+002,3.571691156610e+005,4.073521925671e+003,-6.569740435756e+000,1.501168355877e+005,1.798372040096e+003,-1.906974043576e+001
1.827258538700e+002,3.600757063803e+005,4.069675824188e+003,-7.320423162865e+000,1.513960959271e+005,1.785602650814e+003,-1.982042316287e+001
1.834425167118e+002,3.629907508138e+005,4.065279870831e+003,-8.079822359473e+000,1.526710199541e+005,1.772248411933e+003,-2.057982235947e+001
1.841619903525e+002,3.659138659695e+005,4.060322609403e+003,-8.850351975610e+000,1.539411241534e+005,1.758297729997e+003,-2.135035197561e+001
1.848842858162e+002,3.688446565591e+005,4.054792417733e+003,-9.630960416663e+000,1.552059119231e+005,1.743738845030e+003,-2.213096041666e+001
1.856094141703e+002,3.717827180911e+005,4.048677573492e+003,-1.042174901259e+001,1.564648766620e+005,1.728559896363e+003,-2.292174901259e+001
1.863373865257e+002,3.747276325350e+005,4.041966168722e+003,-1.122282000429e+001,1.577174974274e+005,1.712748837151e+003,-2.372282000429e+001
1.870682140366e+002,3.776789680114e+005,4.034646107198e+003,-1.203427655285e+001,1.589632386186e+005,1.696293431741e+003,-2.453427655285e+001
1.878019079011e+002,3.806362905975e+005,4.026705344311e+003,-1.285501987252e+001,1.602015617768e+005,1.679181495547e+003,-2.535501987252e+001
1.885384793614e+002,3.835991301707e+005,4.018131205363e+003,-1.368754978577e+001,1.614318914213e+005,1.661400213346e+003,-2.618754978577e+001
1.892779397035e+002,3.865670092489e+005,4.008910970340e+003,-1.453078022326e+001,1.626536438840e+005,1.642936724046e+003,-2.703078022326e+001
1.900203002577e+002,3.895394373322e+005,3.999031762994e+003,-1.538481809865e+001,1.638662216445e+005,1.623778009773e+003,-2.788481809865e+001
