phi,V,dV_dphi,lambda_eff,beta_lambda
3.250439325131e+002,1.423350982270e+005,-5.670692941379e+003,5.100394188708e-005,-4.322556862277e-004
3.266732220050e+002,1.190878522825e+005,-6.047543464616e+003,4.182859818276e-005,-4.306083900034e-004
3.283106783445e+002,9.491647234962e+004,-6.433657801944e+003,3.267845733986e-005,-4.289644944504e-004
3.299563424681e+002,6.979442636950e+004,-6.829219111575e+003,2.355346521620e-005,-4.273239911112e-004
3.316102555174e+002,4.369451127348e+004,-7.234413831489e+003,1.445356781220e-005,-4.256868715543e-004
3.332724588404e+002,1.658883713196e+004,-7.649431734897e+003,5.378711270417e-006,-4.240531273741e-004
3.349429939922e+002,-1.155118905566e+004,-8.074465986602e+003,-3.671158124874e-006,-4.224227501910e-004
3.366219027363e+002,-4.075487993753e+004,-8.509713200278e+003,-1.269609394817e-005,-4.207957316511e-004
3.383092270455e+002,-7.105228476073e+004,-8.955373496683e+003,-2.169614963321e-005,-4.191720634263e-004
3.400050091030e+002,-1.024742067055e+005,-9.411650562813e+003,-3.067137847338e-005,-4.175517372139e-004
3.417092913034e+002,-1.350522206106e+005,-9.878751712029e+003,-3.962183362223e-005,-4.159347447368e-004
3.434221162539e+002,-1.688186910991e+005,-1.035688794514e+004,-4.854756809386e-005,-4.143210777435e-004
3.451435267752e+002,-2.038067911120e+005,-1.084627401252e+004,-5.744863476344e-005,-4.127107280075e-004
3.468735659027e+002,-2.400505208604e+005,-1.134712847715e+004,-6.632508636759e-005,-4.111036873276e-004
3.486122768873e+002,-2.775847272036e+005,-1.185967377880e+004,-7.517697550488e-005,-4.094999475279e-004
3.503597031971e+002,-3.164451234639e+005,-1.238413629915e+004,-8.400435463626e-005,-4.078995004573e-004
3.521158885176e+002,-3.566683096868e+005,-1.292074642803e+004,-9.280727608547e-005,-4.063023379897e-004
3.538808767538e+002,-3.982917933564e+005,-1.346973863067e+004,-1.015857920395e-004,-4.047084520240e-004
3.556547120302e+002,-4.413540105769e+005,-1.403135151614e+004,-1.103399545492e-004,-4.031178344836e-004
3.574374386930e+002,-4.858943477285e+005,-1.460582790677e+004,-1.190698155292e-004,-4.015304773168e-004
3.592291013104e+002,-5.319531636101e+005,-1.519341490883e+004,-1.277754267591e-004,-3.999463724963e-004
3.610297446740e+002,-5.795718120783e+005,-1.579436398423e+004,-1.364568398833e-004,-3.983655120194e-004
3.628394138001e+002,-6.287926651938e+005,-1.640893102345e+004,-1.451141064117e-004,-3.967878879078e-004
3.646581539304e+002,-6.796591368857e+005,-1.703737641964e+004,-1.537472777199e-004,-3.952134922073e-004
3.664860105335e+002,-7.322157071463e+005,-1.767996514392e+004,-1.623564050502e-004,-3.936423169881e-004
3.683230293060e+002,-7.865079467668e+005,-1.833696682186e+004,-1.709415395111e-004,-3.920743543445e-004
3.701692561734e+002,-8.425825426262e+005,-1.900865581125e+004,-1.795027320788e-004,-3.905095963948e-004
3.720247372914e+002,-9.004873235449e+005,-1.969531128107e+004,-1.880400335967e-004,-3.889480352813e-004
3.738895190473e+002,-9.602712867166e+005,-2.039721729179e+004,-1.965534947764e-004,-3.873896631701e-004
3.757636480607e+002,-1.021984624729e+006,-2.111466287690e+004,-2.050431661977e-004,-3.858344722511e-004
3.776471711848e+002,-1.085678753189e+006,-2.184794212585e+004,-2.135090983096e-004,-3.842824547378e-004
3.795401355078e+002,-1.151406338961e+006,-2.259735426819e+004,-2.219513414301e-004,-3.827336028675e-004
3.814425883540e+002,-1.219221329039e+006,-2.336320375920e+004,-2.303699457470e-004,-3.811879089008e-004
3.833545772848e+002,-1.289178980057e+006,-2.414580036683e+004,-2.387649613180e-004,-3.796453651218e-004
