phi,dV_fd,dV_ana
1.05688e+010,8.54785e+027,8.43057e+027
1.09658e+010,9.58526e+027,9.45441e+027
1.13777e+010,1.07484e+028,1.06024e+028
1.18052e+010,1.2054e+028,1.18908e+028
1.22486e+010,1.35162e+028,1.33341e+028
1.27088e+010,1.51556e+028,1.49524e+028
1.31862e+010,1.69955e+028,1.67685e+028
1.36816e+010,1.90562e+028,1.88029e+028
1.41955e+010,2.13664e+028,2.10838e+028
1.47288e+010,2.39564e+028,2.36411e+028
1.52821e+010,2.68629e+028,2.65105e+028
1.58562e+010,3.0118e+028,2.97249e+028
1.64519e+010,3.37671e+028,3.33284e+028
1.70699e+010,3.78577e+028,3.73683e+028
1.77112e+010,4.24479e+028,4.1901e+028
1.83766e+010,4.75886e+028,4.69783e+028
1.90669e+010,5.3351e+028,5.26701e+028
1.97832e+010,5.98103e+028,5.90506e+028
2.05264e+010,6.70577e+028,6.62088e+028
2.12975e+010,7.51742e+028,7.4227e+028
2.20976e+010,8.42717e+028,8.32149e+028
2.29277e+010,9.44689e+028,9.32898e+028
2.3789e+010,1.05909e+029,1.04592e+029
2.46827e+010,1.18721e+029,1.17251e+029
2.56099e+010,1.33081e+029,1.3144e+029
2.6572e+010,1.4919e+029,1.47357e+029
2.75702e+010,1.6723e+029,1.65185e+029
2.8606e+010,1.87449e+029,1.85167e+029
2.96806e+010,2.10109e+029,2.07563e+029
3.07956e+010,2.35528e+029,2.32683e+029
3.19525e+010,2.63993e+029,2.60819e+029
3.31528e+010,2.95894e+029,2.92353e+029
3.43983e+010,3.31646e+029,3.27694e+029
3.56905e+010,3.71746e+029,3.67331e+029
3.70313e+010,4.16651e+029,4.11724e+029
3.84224e+010,4.66973e+029,4.61477e+029
3.98658e+010,5.23367e+029,5.17235e+029
4.13634e+010,5.86616e+029,5.79763e+029
4.29173e+010,6.5744e+029,6.49794e+029
4.45296e+010,7.36805e+029,7.28274e+029
4.62024e+010,8.25741e+029,8.16223e+029
4.79381e+010,9.25479e+029,9.14843e+029
4.9739e+010,1.03716e+030,1.02529e+030
5.16075e+010,1.1623e+030,1.14907e+030
5.35462e+010,1.31951e+030,1.28785e+030
5.55578e+010,1.45978e+030,1.44328e+030
5.76449e+010,1.63586e+030,1.61744e+030
5.98104e+010,1.83315e+030,1.8126e+030
6.20573e+010,2.05437e+030,2.03141e+030
6.43886e+010,2.30208e+030,2.27646e+030
6.68074e+010,2.57962e+030,2.55104e+030
6.93172e+010,2.89059e+030,2.8587e+030
7.19212e+010,3.23926e+030,3.20363e+030
7.4623e+010,3.62965e+030,3.5899e+030
